"Subject"	"1.a"	"1.b"	"1.c"	"1.d"	"1.e"	"2.a"	"2.b"	"2.c"	"2.d"	"2.e"	"2.f"	"2.g"	"2.h"	"Game.affect.distraction"	"Surprise"	"Suspected"	"Why "	"Entrant"	"Assignment"	"Entrant.1"	"Date"	"Time"	"RA"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"Good.Session"	"Entrant.2"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"knew.others"	"knew.partner"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"gender"	"age"	"race"	"year"	"GPA"	"Entrant.3"	"A"	"B"	"C"	"D"	"E"	"F"	"Entrant.4"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_ring_length"	"R_ring_angle"	"R_index_length"	"R_index_angle"	"notes"	"coder"	"Violence"	"Difficulty"
"108"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"109"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"10a"	0	0	0	0	0	0	0	0	0	0	0	0	0	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	"Nonviolent"	"Easy"
"10b"	0	0	0	0	0	0	0	0	0	0	0	0	0	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	"Nonviolent"	"Easy"
"11"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"110"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"111"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"112"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"113"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"114"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"115"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"116"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"117"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	"0"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Nonviolent"	"Easy"
"118"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"119"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"12"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"120"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"121"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"122"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"123"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"124"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"125"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"126"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"127"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"128"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"129"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"13"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"130"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"131"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"132"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"133"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"134"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"135"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"136"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"137"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"138"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"139"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"14"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"140"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"141"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"142"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"143"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"144"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"145"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"146"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"147"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"148"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"149"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"15"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"150"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"151"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"152"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
"153"	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	"Violent"	"Easy"
